OBJECTID,Structure,Type,Long,Lat
93,Light or Signal Pole,Merc street lamp,-123.364752666713,48.4331778055979
94,Splice Box,CL s/w box (small),-123.36474658619,48.4331780542591
95,Splice Box,CL s/w box (small),-123.364457859723,48.4331827374593
96,Cluster Lamp,Cluster lights (crossed),-123.364451824514,48.4331827061685
97,Splice Box,CL s/w box (small),-123.364737962805,48.4326774283307
98,Splice Box,CL s/w box (small),-123.364725709503,48.4325243780293
99,Light or Signal Pole,Merc street lamp,-123.364730524882,48.4325247406414
100,Splice Box,CL s/w box (small),-123.364728449857,48.4326049065743
101,Cluster Lamp,Cluster lights (crossed),-123.364733492554,48.4326049176008
102,Splice Box,CL s/w box (large),-123.364799250955,48.4327032217653
103,Splice Box,CL s/w box (small),-123.364739388433,48.4329521662036
104,Cluster Lamp,Cluster lights (crossed),-123.364745309632,48.4329521384626
105,Splice Box,CL s/w box (large),-123.364797299865,48.4328233770207
106,Splice Box,CL s/w box (large),-123.364438757163,48.4326759802375
107,Cluster Lamp,Cluster lights (crossed),-123.364432947735,48.4326140842796
108,Splice Box,CL s/w box (small),-123.36443900087,48.4326136063087
109,Splice Box,CL s/w box (small),-123.362300662972,48.4327171179903
110,Light or Signal Pole,Merc street lamp,-123.362284811027,48.4326743892003
111,Light or Signal Pole,Merc street lamp,-123.362170256338,48.4323922502038
112,Light or Signal Pole,Merc street lamp,-123.362445166891,48.4328440808763
113,Splice Box,CL s/w box (small),-123.362446409267,48.4328400824966
114,Splice Box,CL s/w box (small),-123.362368918619,48.432856975257
115,Light or Signal Pole,Merc street lamp,-123.36169609506,48.4325547528291
116,Splice Box,CL s/w box (small),-123.361685662181,48.4325267073206
117,Light or Signal Pole,Light/signal pole,-123.358156481332,48.4352273917475
118,Splice Box,CL s/w box (small),-123.364576816794,48.4365857247364
119,Light or Signal Pole,Merc street lamp,-123.364574948117,48.436568296194
120,Light or Signal Pole,Merc street lamp,-123.364425985099,48.4363004382815
121,Splice Box,CL s/w box (small),-123.36654483826,48.4318456107248
