OBJECTID,Structure,Type,Long,Lat
1979,Ornamental Lamp,Ornamental lamp std,-123.368802245658,48.4222232144737
1980,Ornamental Lamp,Ornamental lamp std,-123.368792263227,48.4222631191824
1981,Ornamental Lamp,Ornamental lamp std,-123.368782724367,48.4223047408157
1982,Ornamental Lamp,Ornamental lamp std,-123.368773106985,48.4223448512785
1983,Ornamental Lamp,Ornamental lamp std,-123.368763706938,48.4223849250601
1984,Ornamental Lamp,Ornamental lamp std,-123.368753770937,48.4224258372379
1985,Ornamental Lamp,Ornamental lamp std,-123.368748961765,48.4224654554976
1986,Ornamental Lamp,Ornamental lamp std,-123.368761216931,48.4225058198401
1987,Ornamental Lamp,Ornamental lamp std,-123.368948619869,48.4226045392303
1988,Light or Signal Pole,Signal standard,-123.367633131798,48.4265783175918
1989,Light or Signal Pole,Signal standard,-123.368394923219,48.42289979437
1990,Ornamental Lamp,Ornamental lamp std,-123.368632088963,48.4221242316661
1991,Cluster Lamp,Cluster lights (straight),-123.368374303837,48.4221012995415
1992,Splice Box,CL s/w box (small),-123.368701904986,48.4221695570481
1993,Splice Box,CL s/w box (small),-123.368750741033,48.4219664383341
1994,Splice Box,CL s/w box (small),-123.368740724905,48.4220074767138
1995,Splice Box,CL s/w box (small),-123.36873086367,48.422049189341
1996,Splice Box,CL s/w box (small),-123.368721581394,48.4220889118761
1997,Splice Box,CL s/w box (small),-123.368711751638,48.4221293738815
1998,Ornamental Lamp,Ornamental lamp std,-123.368695531843,48.4218550764311
1999,Cluster Lamp,Cluster lights (crossed),-123.368664049954,48.4219891269797
2000,Ornamental Lamp,Ornamental lamp std,-123.368702554651,48.4220872364067
2001,Ornamental Lamp,Ornamental lamp std,-123.368812043507,48.422181897896
2002,Cluster Lamp,Cluster lights (straight),-123.368900809757,48.4219363126834
2003,Cluster Lamp,Cluster lights (straight),-123.368826369282,48.4219278971017
2004,Ornamental Lamp,Ornamental lamp std,-123.368841305549,48.422060520705
2005,Ornamental Lamp,Ornamental lamp std,-123.368851053641,48.4220198070589
2006,Ornamental Lamp,Ornamental lamp std,-123.368860748321,48.4219793724777
2007,Ornamental Lamp,Ornamental lamp std,-123.368831487066,48.4221008477249
2008,Ornamental Lamp,Ornamental lamp std,-123.36882171496,48.4221417953597
2009,Ornamental Lamp,Ornamental lamp std,-123.368712086249,48.4220457290552
2010,Ornamental Lamp,Ornamental lamp std,-123.369226000079,48.4226936755603
2011,Cluster Lamp,Cluster lights (crossed),-123.362513709343,48.4248438020571
2012,Splice Box,CL s/w box (small),-123.363801958352,48.4245366369419
2013,Splice Box,CL s/w box (small),-123.363910133363,48.4243983236224
2014,Splice Box,CL s/w box (small),-123.363727968289,48.4243778130135
2015,Light or Signal Pole,Merc street lamp,-123.363694394573,48.4243724491437
2016,Light or Signal Pole,Merc street lamp,-123.363661921941,48.4245213631566
2017,Splice Box,CL s/w box (small),-123.363300354112,48.4236304321972
2018,Splice Box,CL s/w box (small),-123.363258463124,48.4236273939978
2019,Light or Signal Pole,Signal standard,-123.363279976025,48.4236290615516
2020,Light or Signal Pole,Merc street lamp,-123.363207677614,48.4243192898657
2021,Splice Box,CL s/w box (small),-123.363908376196,48.4236944576007
2022,Cluster Lamp,Cluster lights (straight),-123.3639065671,48.4237011927601
2023,Splice Box,CL s/w box (small),-123.363813431831,48.4236843900289
2024,Light or Signal Pole,Merc street lamp,-123.363812912048,48.4236875044874
2025,Splice Box,CL s/w box (small),-123.363581361873,48.4236599327772
2026,Cluster Lamp,Cluster lights (straight),-123.363579514656,48.4236653095668
2027,Light or Signal Pole,Merc street lamp,-123.367475646658,48.4262070143621
2028,Cluster Lamp,Cluster lights (straight),-123.367424295624,48.4262899828828
2029,Cluster Lamp,Cluster lights (straight),-123.3676106096,48.4263088825073
2030,Splice Box,CL s/w box (small),-123.365714700435,48.4264571162492
2031,Cluster Lamp,Cluster lights (straight),-123.365709712276,48.4264697056979
2032,Splice Box,CL s/w box (small),-123.36586937923,48.4264745965612
2033,Light or Signal Pole,Merc street lamp,-123.365588709752,48.426456578785
2034,Splice Box,CL s/w box (small),-123.365593134701,48.4264440505069
2035,Splice Box,CL s/w box (small),-123.356478634928,48.423583953593
2036,Splice Box,CL s/w box (small),-123.370056970543,48.4259884522388
2037,Splice Box,CL s/w box (small),-123.368691790738,48.4250434028113
2038,Light or Signal Pole,Merc street lamp,-123.368712244985,48.4250417898321
2039,Light or Signal Pole,Merc street lamp,-123.369198407769,48.4250936854863
2040,Splice Box,CL s/w box (small),-123.369198598192,48.4250901222219
2041,Cluster Lamp,Cluster lights (straight),-123.369028478421,48.4250759505979
2042,Splice Box,CL s/w box (small),-123.368407067121,48.4262791871901
2043,Ornamental Lamp,Ornamental lamp std,-123.368400955826,48.4262789818415
2044,Ornamental Lamp,Ornamental lamp std,-123.368278789843,48.4262046670281
2045,Splice Box,CL s/w box (small),-123.368276125977,48.4261989267337
2046,Splice Box,CL s/w box (small),-123.368238088942,48.4263690839935
2047,Ornamental Lamp,Ornamental lamp std,-123.368242498768,48.4263657861267
2048,Light or Signal Pole,Merc street lamp,-123.364558774498,48.4219237997258
2049,Cluster Lamp,Cluster lights (crossed),-123.364628091096,48.4219528765684
2050,Cluster Lamp,Cluster lights (crossed),-123.364593045202,48.4220836549561
2051,Light or Signal Pole,Merc street lamp,-123.365574228852,48.4243123313903
2052,Splice Box,CL s/w box (small),-123.363020266151,48.4229446821361
2053,Cluster Lamp,Cluster lights (straight),-123.362951682927,48.4231095347855
2054,Splice Box,CL s/w box (large),-123.363056437314,48.4226300757572
2055,Splice Box,CL s/w box (large),-123.363022173835,48.4227495143788
2056,Manhole,City light manhole 0.8m,-123.362858002207,48.422688865316
2057,Light or Signal Pole,Light/signal pole,-123.363097742305,48.4227530176658
2058,Splice Box,CL s/w box (small),-123.363098031629,48.4227480956276
2059,Light or Signal Pole,Merc street lamp,-123.363150277681,48.422321462598
2060,Cluster Lamp,Cluster lights (straight),-123.362859479776,48.422252112206
2061,Cluster Lamp,Cluster lights (straight),-123.363145381074,48.4223399120308
2062,Cluster Lamp,Cluster lights (straight),-123.363403264877,48.422786634399
2063,Splice Box,CL s/w box (small),-123.363403383145,48.4227823696487
2064,Cluster Lamp,Cluster lights (straight),-123.363490032654,48.4226663280705
2065,Cluster Lamp,Cluster lights (straight),-123.363819906049,48.4227027636718
2066,Splice Box,CL s/w box (small),-123.363694935283,48.4228148241956
2067,Cluster Lamp,Cluster lights (straight),-123.363694139305,48.4228188211916
2068,Splice Box,CL s/w box (small),-123.366552259472,48.4290042127983
2069,Splice Box,CL s/w box (small),-123.366524798549,48.4286154027239
2070,Splice Box,CL s/w box (small),-123.366537683705,48.4286179986191
2071,Splice Box,CL s/w box (small),-123.366219746128,48.4287233538751
2072,Light or Signal Pole,Merc street lamp,-123.370253477372,48.4235900303031
2073,Splice Box,CL s/w box (small),-123.370251072394,48.4235901639885
2074,Light or Signal Pole,Merc street lamp,-123.364947031901,48.4238120397251
2075,Splice Box,CL s/w box (small),-123.364584735931,48.4237701308654
2076,Splice Box,CL s/w box (small),-123.36466464533,48.4236616938393
2077,Cluster Lamp,Cluster lights (straight),-123.364665717389,48.4236573756811
2078,Splice Box,CL s/w box (small),-123.365207062481,48.4284831200001
2079,Light or Signal Pole,Merc street lamp,-123.365897536549,48.4282424801192
2080,Cluster Lamp,Cluster lights (straight),-123.365558298941,48.4281918989001
2081,Light or Signal Pole,Merc street lamp,-123.365936281692,48.4281107228168
2082,Cluster Lamp,Cluster lights (straight),-123.363009909086,48.4262772846019
2083,Cluster Lamp,Cluster lights (straight),-123.362988020189,48.4263638106147
2084,Splice Box,CL s/w box (large),-123.356019442931,48.425433706213
2085,Splice Box,CL s/w box (small),-123.366087125856,48.4265666665398
2086,Splice Box,CL s/w box (small),-123.366071369527,48.4266320983157
2087,Splice Box,CL s/w box (small),-123.366059799996,48.4266825410865
2088,Ornamental Lamp,Ornamental lamp std,-123.366098519734,48.4265555636396
2089,Ornamental Lamp,Ornamental lamp std,-123.366082557437,48.4266212992566
2090,Ornamental Lamp,Ornamental lamp std,-123.366067689045,48.4266863350588
2091,Splice Box,CL s/w box (small),-123.36603596703,48.426780926881
2092,Ornamental Lamp,Ornamental lamp std,-123.366043836764,48.426785417251
2093,Splice Box,CL s/w box (small),-123.365999769643,48.4269359871824
2094,Splice Box,CL s/w box (small),-123.365981028829,48.4270193585921
2095,Splice Box,CL s/w box (small),-123.365962656595,48.4270925123185
2096,Cluster Lamp,Cluster lights (straight),-123.366012053596,48.4269285313736
2097,Cluster Lamp,Cluster lights (straight),-123.365991789344,48.4270143456976
2098,Cluster Lamp,Cluster lights (straight),-123.365971284055,48.427100675386
2099,Splice Box,CL s/w box (small),-123.366275248221,48.426544392107
2100,Splice Box,CL s/w box (small),-123.366350463373,48.4265101449441
2101,Splice Box,CL s/w box (small),-123.366247304684,48.4266250461821
2102,Ornamental Lamp,Ornamental lamp std,-123.366259296664,48.4266157262842
2103,Splice Box,CL s/w box (small),-123.366228710224,48.4267008717499
2104,Ornamental Lamp,Ornamental lamp std,-123.366234274283,48.4267195246467
2105,Splice Box,CL s/w box (small),-123.366180097685,48.4269353213642
2106,Splice Box,CL s/w box (small),-123.369748982824,48.4240701199622
2107,Light or Signal Pole,Merc street lamp,-123.36975250153,48.4240688581393
2108,Manhole,City light manhole 0.8m,-123.369763804903,48.4242890121359
2109,Splice Box,CL s/w box (small),-123.364298198506,48.4290559880203
2110,Splice Box,CL s/w box (small),-123.36424318336,48.4290638963381
2111,Cluster Lamp,Cluster lights (crossed),-123.36429158192,48.4290961534242
2112,Ornamental Lamp,Ornamental lamp std,-123.364294520832,48.4292077591319
2113,Splice Box,CL s/w box (small),-123.364306041947,48.4292512210947
2114,Splice Box,CL splice box 0.6m,-123.364311160459,48.4294270967701
2115,Splice Box,CL s/w box (large),-123.366228839131,48.4281581217136
2116,Light or Signal Pole,Signal standard,-123.359373764601,48.4249002229763
2117,Light or Signal Pole,Light/signal pole,-123.35870402326,48.4289143755242
2118,Light or Signal Pole,Light/signal pole,-123.358737094938,48.4290705841598
2119,Splice Box,CL s/w box (small),-123.36954578195,48.4259058573621
2120,Splice Box,CL s/w box (small),-123.369626418083,48.4260438662035
2121,Splice Box,CL s/w box (small),-123.369319442876,48.4260124578969
2122,Light or Signal Pole,Merc street lamp,-123.371120095461,48.4283035345058
2123,Splice Box,CL s/w box (small),-123.355780686257,48.4296293626297
2124,Splice Box,CL s/w box (small),-123.363100811616,48.4293659323493
2125,Splice Box,CL s/w box (small),-123.362546930635,48.4293748174158
2126,Splice Box,CL splice box 0.6m,-123.356094595319,48.4287148173485
2127,Ornamental Lamp,Ornamental lamp std,-123.366434412006,48.4294450813727
2128,Splice Box,CL s/w box (small),-123.366434589592,48.4294378115799
2129,Manhole,City light manhole 0.8m,-123.366939142039,48.4293830859767
2130,Splice Box,CL splice box 0.6m,-123.366904426218,48.4294447789964
2131,Splice Box,CL s/w box (small),-123.366718334859,48.4294336140697
2132,Ornamental Lamp,Ornamental lamp std,-123.366719183965,48.4294407816319
2133,Signal Kiosk,Signal kiosk,-123.366931325723,48.4294727167125
2134,Splice Box,CL s/w box (large),-123.366912246567,48.4294250515951
2135,Manhole,City light manhole 0.8m,-123.365658514687,48.428570783536
2136,Manhole,City light manhole 0.8m,-123.36775248895,48.4249524827474
2137,Light or Signal Pole,Merc street lamp,-123.370239356531,48.4232670003763
2138,Light or Signal Pole,Merc street lamp,-123.370026095688,48.4230181416834
2139,Splice Box,CL s/w box (small),-123.369849378409,48.423171869949
2140,Splice Box,CL s/w box (small),-123.369802021509,48.4230940292092
2141,Splice Box,CL s/w box (small),-123.369611258226,48.4258065494736
2142,Splice Box,CL s/w box (small),-123.365904076747,48.4230079144022
2143,Splice Box,CL s/w box (large),-123.365857965501,48.4230789379718
2144,Splice Box,CL s/w box (small),-123.365595811775,48.4230932253604
2145,Light or Signal Pole,Merc street lamp,-123.365603235456,48.4230940330657
2146,Splice Box,CL s/w box (small),-123.365568441909,48.4231743958952
2147,Splice Box,CL s/w box (small),-123.366102901872,48.4274198441537
2148,Splice Box,CL s/w box (small),-123.366077591095,48.4274021320787
2149,Splice Box,CL s/w box (small),-123.36605006819,48.4274594080577
2150,Ornamental Lamp,Ornamental lamp std,-123.366046177241,48.4274726921657
2151,Splice Box,CL s/w box (small),-123.366026558882,48.4275515302913
2152,Ornamental Lamp,Ornamental lamp std,-123.366030669314,48.4275377488761
2153,Splice Box,CL s/w box (small),-123.36601162932,48.4276097918487
2154,Ornamental Lamp,Ornamental lamp std,-123.366014773629,48.4276015221049
2155,Splice Box,CL s/w box (small),-123.365992650152,48.427686735056
2156,Splice Box,CL s/w box (small),-123.365978176819,48.427788765276
2157,Cluster Lamp,Cluster lights (straight),-123.365971569086,48.4277813946874
2158,Splice Box,CL s/w box (small),-123.365964217802,48.4278511801558
2159,Cluster Lamp,Cluster lights (straight),-123.365955561356,48.4278472806549
2160,Splice Box,CL s/w box (small),-123.365947828055,48.4279180866464
2161,Cluster Lamp,Cluster lights (straight),-123.365939148675,48.4279136303294
2162,Splice Box,CL s/w box (small),-123.365931623765,48.4279852237562
2163,Cluster Lamp,Cluster lights (straight),-123.365922744766,48.4279808310481
2164,Splice Box,CL s/w box (small),-123.365916028158,48.4280495960821
2165,Cluster Lamp,Cluster lights (straight),-123.365907028047,48.4280443400866
2166,Splice Box,CL s/w box (small),-123.369991278672,48.4257951861212
2167,Cluster Lamp,Cluster lights (straight),-123.369997032725,48.4258001787255
2168,Cluster Lamp,Cluster lights (straight),-123.366905637897,48.4288365349454
2169,Splice Box,CL s/w box (small),-123.366911992842,48.4290364392357
2170,Light or Signal Pole,Merc street lamp,-123.366946430836,48.4289280422625
2171,Splice Box,CL s/w box (small),-123.366742000747,48.4286208244943
2172,Splice Box,CL s/w box (small),-123.364582195599,48.4261584668073
2173,Cluster Lamp,Cluster lights (crossed),-123.36460356623,48.4261754215713
2174,Cluster Lamp,Cluster lights (crossed),-123.364650923472,48.4261805814237
2175,Splice Box,CL s/w box (small),-123.364243999421,48.4252936806884
2176,Cluster Lamp,Cluster lights (crossed),-123.364245763501,48.425283858949
2177,Light or Signal Pole,Merc street lamp,-123.364079494213,48.425266979013
2178,Light or Signal Pole,Merc street lamp,-123.364216850883,48.4244293340143
2179,Light or Signal Pole,Merc street lamp,-123.364147101142,48.4245746244558
2180,Splice Box,CL s/w box (small),-123.364058108251,48.424414201755
2181,Splice Box,CL s/w box (small),-123.364019900687,48.4245605520322
2182,Light or Signal Pole,Merc street lamp,-123.364627706929,48.4246270876483
2183,Splice Box,CL s/w box (small),-123.367541865613,48.4267177394574
2184,Splice Box,CL s/w box (small),-123.367304141311,48.42663465121
2185,Splice Box,CL s/w box (small),-123.367522009848,48.4267467709621
2186,Splice Box,CL splice box 0.6m,-123.367524091802,48.4267042842544
2187,Cluster Lamp,Cluster lights (straight),-123.367498897777,48.4267360947533
2188,Splice Box,CL s/w box (small),-123.367611597172,48.4265719358353
2189,Splice Box,CL s/w box (small),-123.367227149987,48.4264971601909
2190,Splice Box,CL s/w box (large),-123.367569408476,48.4265431411876
2191,Light or Signal Pole,Light/signal pole,-123.367603332443,48.4266810934805
2192,Light or Signal Pole,Light/signal pole,-123.36732790996,48.4266683467065
2193,Light or Signal Pole,Light/signal pole,-123.367287232694,48.4266309410074
2194,Splice Box,CL s/w box (large),-123.367315821614,48.426617957661
2195,Splice Box,CL s/w box (small),-123.366516476957,48.4241228850115
2196,Splice Box,CL splice box 0.6m,-123.366679980444,48.4241328346432
2197,Light or Signal Pole,Merc street lamp,-123.366685462895,48.4241653371923
2198,Splice Box,CL s/w box (large),-123.367131899325,48.4284668543919
2199,Cluster Lamp,Cluster lights (straight),-123.367415751929,48.427171386275
2200,Cluster Lamp,Cluster lights (straight),-123.36721368269,48.4271403460869
2201,Light or Signal Pole,Light/signal pole,-123.367358460457,48.4273955479818
2202,Splice Box,CL s/w box (small),-123.367370713207,48.4274225885804
2203,Splice Box,CL splice box 0.6m,-123.367358515588,48.4274444262198
2204,Splice Box,CL s/w box (small),-123.367158349323,48.4273681270263
2205,Manhole,City light manhole 0.8m,-123.367131901265,48.4275208743006
2206,Manhole,City light manhole 0.8m,-123.367121166822,48.4275806997851
2207,Splice Box,CL s/w box (small),-123.36712694212,48.4273954598413
2208,Splice Box,CL s/w box (small),-123.367153487548,48.4273818893041
2209,Cluster Lamp,Cluster lights (straight),-123.367158438272,48.4273692153285
2210,Splice Box,CL s/w box (large),-123.36735695856,48.4273972225401
2211,Manhole,City light manhole 0.8m,-123.367162725112,48.4274441017594
2212,Splice Box,CL s/w box (small),-123.36654589411,48.4256272182741
2213,Light or Signal Pole,Merc street lamp,-123.366541684328,48.4256369182849
2214,Splice Box,CL s/w box (small),-123.366455079723,48.4256518178088
2215,Splice Box,CL s/w box (small),-123.366460564522,48.4256983612331
2216,Ornamental Lamp,Ornamental lamp std,-123.366473226108,48.42570098843
2217,Light or Signal Pole,Merc street lamp,-123.370209690909,48.4281347694791
2218,Splice Box,CL s/w box (small),-123.370019719065,48.4280225115131
2219,Light or Signal Pole,Merc street lamp,-123.370023519037,48.4280171373255
2220,Light or Signal Pole,Merc street lamp,-123.370428721956,48.4282167959558
2221,Splice Box,CL s/w box (small),-123.370376342371,48.4280147486826
2222,Splice Box,CL s/w box (small),-123.36972248851,48.4282566150757
2223,Light or Signal Pole,Merc street lamp,-123.36978470905,48.4281298241104
2224,Splice Box,CL s/w box (small),-123.369770747259,48.428165459499
2225,Splice Box,CL s/w box (small),-123.369788203591,48.4281121795516
2226,Splice Box,CL s/w box (small),-123.369819261025,48.4280759404539
2227,Splice Box,CL s/w box (small),-123.369868690903,48.4279860225848
2228,Splice Box,CL s/w box (small),-123.358871346361,48.4295240705274
2229,Splice Box,CL s/w box (small),-123.359713796427,48.4244257795539
2230,Splice Box,CL s/w box (large),-123.359631579314,48.4247741385309
2231,Splice Box,CL s/w box (small),-123.359932067634,48.4249326794277
2232,Splice Box,CL s/w box (small),-123.356903674676,48.4245809267374
2233,Splice Box,CL s/w box (small),-123.356798305715,48.4246278186828
2234,Manhole,City light manhole 0.8m,-123.356609040192,48.4244868800692
2235,Splice Box,CL s/w box (large),-123.356628240904,48.4244376093593
2236,Light or Signal Pole,Merc street lamp,-123.35654404383,48.4248500875459
2237,Splice Box,CL s/w box (small),-123.359371428056,48.4248909098253
2238,Private lamp std,Private lamp std,-123.358608077984,48.4248158786588
2239,Splice Box,CL s/w box (small),-123.360101113751,48.4292577625901
2240,Splice Box,CL s/w box (small),-123.360404510543,48.4292769159053
2241,Splice Box,CL s/w box (small),-123.369879412234,48.424309169818
2242,Splice Box,CL s/w box (small),-123.369808719223,48.4244450297283
2243,Cluster Lamp,Cluster lights (straight),-123.369807028922,48.4244691728732
2244,Splice Box,CL s/w box (small),-123.369803527819,48.4244710014261
2245,Splice Box,CL s/w box (small),-123.369809141589,48.4245180262829
2246,Cluster Lamp,Cluster lights (straight),-123.36981368248,48.4245235175697
2247,Splice Box,CL s/w box (small),-123.369823120898,48.4246407526067
2248,Splice Box,CL s/w box (small),-123.370003452386,48.4248146192009
2249,Cluster Lamp,Cluster lights (straight),-123.369829715333,48.4246410687795
2250,Light or Signal Pole,Light/signal pole,-123.369870914873,48.4249778215458
2251,Splice Box,CL s/w box (large),-123.369862103752,48.4249165555752
2252,Splice Box,CL s/w box (small),-123.362437242588,48.4278907617971
2253,Splice Box,CL s/w box (small),-123.368685389589,48.426171171531
2254,Ornamental Lamp,Ornamental lamp std,-123.368441662713,48.4254845172932
2255,Splice Box,CL s/w box (small),-123.368448023782,48.4254818960055
2256,Cluster Lamp,Cluster lights (crossed),-123.360933296262,48.4240710099087
2257,Cluster Lamp,Cluster lights (crossed),-123.361244832401,48.4242578510615
2258,Cluster Lamp,Cluster lights (crossed),-123.360897964563,48.4242198788148
2259,Cluster Lamp,Cluster lights (crossed),-123.361571250768,48.4242938811168
2260,Cluster Lamp,Cluster lights (crossed),-123.361599007723,48.4241426327996
2261,Cluster Lamp,Cluster lights (crossed),-123.361285477999,48.4241091822005
2262,Light or Signal Pole,Light/signal pole,-123.36231418233,48.4244097238891
2263,Light or Signal Pole,Merc street lamp,-123.362264914568,48.4243728552735
2264,Splice Box,CL s/w box (small),-123.362321067524,48.4244110076349
2265,Splice Box,CL s/w box (large),-123.362329876126,48.4243647591756
2266,Cluster Lamp,Cluster lights (crossed),-123.361938322511,48.4243330662675
2267,Cluster Lamp,Cluster lights (straight),-123.362254729848,48.4246622861045
2268,Splice Box,CL s/w box (small),-123.362246165337,48.4246934501477
2269,Light or Signal Pole,Merc street lamp,-123.362241665175,48.4247145072638
2270,Cluster Lamp,Cluster lights (crossed),-123.362219890195,48.4248133301252
2271,Splice Box,CL s/w box (small),-123.362613283516,48.4244351740385
2272,Splice Box,CL s/w box (large),-123.362613791485,48.4243827107627
2273,Light or Signal Pole,Merc street lamp,-123.362534584303,48.4247570634394
2274,Light or Signal Pole,Light/signal pole,-123.362679366492,48.4244137313234
2275,Splice Box,CL s/w box (small),-123.362638050144,48.4244106136881
2276,Cluster Lamp,Cluster lights (straight),-123.362611569948,48.4244409255413
2277,Manhole,City light manhole 0.8m,-123.362439703079,48.4243593297158
2278,Splice Box,CL splice box 0.6m,-123.365221647933,48.4245167749787
2279,Cluster Lamp,Cluster lights (crossed),-123.365224412304,48.4245045398467
2280,Splice Box,CL splice box 0.6m,-123.365224021468,48.4245556147211
2281,Light or Signal Pole,Merc street lamp,-123.365144999367,48.4245440168175
2282,Splice Box,CL s/w box (small),-123.365148200546,48.4245323740781
2283,Manhole,City light manhole 0.8m,-123.365419718795,48.4246760852801
2284,Light or Signal Pole,Merc street lamp,-123.365118264442,48.4246800490278
2285,Splice Box,CL splice box 0.6m,-123.365212661974,48.4246585978126
2286,Splice Box,CL s/w box (small),-123.365125259397,48.4246809804877
2287,Splice Box,CL s/w box (small),-123.365420557891,48.4249758912832
2288,Splice Box,CL s/w box (small),-123.365404365419,48.4249741415426
2289,Splice Box,CL s/w box (small),-123.365442866558,48.4248230700914
2290,Splice Box,CL s/w box (small),-123.365458571474,48.4248245064909
2291,Light or Signal Pole,Merc street lamp,-123.366450808021,48.4289966410867
2292,Cluster Lamp,Cluster lights (straight),-123.36394256085,48.4235787614894
2293,Splice Box,CL splice box 0.6m,-123.367016959712,48.4225997994415
2294,Light or Signal Pole,Merc street lamp,-123.367033330401,48.4226038857266
2295,Cluster Lamp,Cluster lights (crossed),-123.366759032312,48.422517112508
2296,Cluster Lamp,Cluster lights (crossed),-123.36692542761,48.4224358193704
2297,Cluster Lamp,Cluster lights (crossed),-123.366577260765,48.4223251846706
2298,Light or Signal Pole,Merc street lamp,-123.366596153246,48.4223303515125
2299,Light or Signal Pole,Merc street lamp,-123.366668431534,48.4224888195458
2300,Cluster Lamp,Cluster lights (straight),-123.366594338113,48.4264207806179
2301,Cluster Lamp,Cluster lights (straight),-123.364392995799,48.426146978656
2302,Ornamental Lamp,Ornamental lamp std,-123.364029172754,48.4263065002695
2303,Ornamental Lamp,Ornamental lamp std,-123.364238502135,48.4263295615316
2304,Cluster Lamp,Cluster lights (straight),-123.364182798892,48.426124238902
2305,Light or Signal Pole,Merc street lamp,-123.36471878731,48.4261877284402
2306,Splice Box,CL s/w box (small),-123.364679500914,48.4263776436125
2307,Light or Signal Pole,Merc street lamp,-123.364670687232,48.4263776004454
2308,Splice Box,CL splice box 0.6m,-123.364766647498,48.4263757032873
2309,Splice Box,CL s/w box (small),-123.364717200853,48.4261966733572
2310,Cluster Lamp,Cluster lights (crossed),-123.364590468875,48.4263675245381
2311,Cluster Lamp,Cluster lights (crossed),-123.364543111461,48.4263623646601
2312,Splice Box,CL s/w box (small),-123.364514733003,48.4263738999137
2313,Light or Signal Pole,Merc street lamp,-123.365121090012,48.426406119508
2314,Splice Box,CL s/w box (small),-123.365124551187,48.426394898807
2315,Light or Signal Pole,Merc street lamp,-123.365150390833,48.4262773306531
2316,Splice Box,CL s/w box (small),-123.36515001766,48.4262799588353
2317,Splice Box,CL splice box 0.6m,-123.365093715474,48.4262721123761
2318,Cluster Lamp,Cluster lights (straight),-123.365257055725,48.426275300184
2319,Splice Box,CL s/w box (small),-123.365256843249,48.4262852600636
2320,Splice Box,CL s/w box (small),-123.365226456956,48.4264040122153
2321,Cluster Lamp,Cluster lights (straight),-123.365502236195,48.4263019061577
2322,Splice Box,CL s/w box (small),-123.365500343967,48.4263113585639
2323,Manhole,City light manhole 0.8m,-123.364999173716,48.4263191591087
2324,Cluster Lamp,Cluster lights (straight),-123.365990315652,48.4263554206809
2325,Splice Box,CL s/w box (small),-123.365988033198,48.4263651082468
2326,Splice Box,CL s/w box (small),-123.365744420529,48.4263374214352
2327,Cluster Lamp,Cluster lights (straight),-123.365745457506,48.4263272781047
2328,Cluster Lamp,Cluster lights (straight),-123.368407172772,48.4266597426011
2329,Splice Box,CL s/w box (small),-123.368550351749,48.4266638526238
2330,Cluster Lamp,Cluster lights (straight),-123.368368303608,48.4268101550461
2331,Light or Signal Pole,Merc street lamp,-123.368190054373,48.4267379808417
2332,Ornamental Lamp,Ornamental lamp std,-123.368355711397,48.4264842129417
2333,Splice Box,CL s/w box (small),-123.368361901806,48.4264841391464
2334,Ornamental Lamp,Ornamental lamp std,-123.368195037167,48.4265804346504
2335,Splice Box,CL s/w box (small),-123.368188818539,48.4265803465878
2336,Splice Box,CL s/w box (small),-123.368334183861,48.4266380155629
2337,Splice Box,CL s/w box (small),-123.368181174322,48.4266184625969
2338,Splice Box,CL s/w box (small),-123.368742316649,48.4267036395881
2339,Cluster Lamp,Cluster lights (straight),-123.368733946193,48.4266938700186
2340,Splice Box,CL s/w box (small),-123.368808940199,48.4266881948645
2341,Light or Signal Pole,Merc street lamp,-123.368877036435,48.4267414874518
2342,Splice Box,CL s/w box (small),-123.368856073462,48.4267493007092
2343,Light or Signal Pole,Merc street lamp,-123.368805670486,48.4268356055209
2344,Cluster Lamp,Cluster lights (straight),-123.369018774492,48.4267220673312
2345,Cluster Lamp,Cluster lights (straight),-123.36897774531,48.4268781728419
2346,Splice Box,CL s/w box (small),-123.368962293074,48.4268760631987
2347,Light or Signal Pole,Merc street lamp,-123.369145310742,48.4267462573113
2348,Splice Box,CL s/w box (small),-123.369124842078,48.4267308938035
2349,Cluster Lamp,Cluster lights (crossed),-123.357444439244,48.423843319033
2350,Light or Signal Pole,Signal standard,-123.357037304816,48.4238302084732
2351,Splice Box,CL s/w box (small),-123.357000521839,48.4238279204486
2352,Cluster Lamp,Cluster lights (crossed),-123.357082895656,48.4238032213236
2353,Splice Box,CL s/w box (small),-123.357145707127,48.4238108085338
2354,Splice Box,CL s/w box (small),-123.364402169422,48.4277472955086
2355,Ornamental Lamp,Ornamental lamp std,-123.364383590333,48.427803224775
2356,Splice Box,CL s/w box (small),-123.364396680445,48.427769876268
2357,Manhole,City light manhole 0.8m,-123.364455069707,48.4271471442295
2358,Light or Signal Pole,Merc street lamp,-123.364062839831,48.4271961051363
2359,Splice Box,CL s/w box (small),-123.364062649226,48.4271917522989
2360,Cluster Lamp,Cluster lights (straight),-123.364218782258,48.4272131185631
2361,Splice Box,CL s/w box (small),-123.364219158307,48.4272088044186
2362,Splice Box,CL s/w box (small),-123.364688125,48.4277827663377
2363,Splice Box,CL s/w box (small),-123.364744121609,48.4275578916149
2364,Cluster Lamp,Cluster lights (crossed),-123.364703294271,48.427733975797
2365,Splice Box,CL s/w box (small),-123.364697100098,48.427733176721
2366,Cluster Lamp,Cluster lights (crossed),-123.364733495133,48.4276149050378
2367,Splice Box,CL s/w box (small),-123.364726142502,48.427614483889
